lead_id,lead_stage,event_id,event_type,event_timestamp,event_outcome,days_since_last_contact,days_since_creation,total_emails_sent,total_calls_made,total_meetings,last_email_sentiment,response_rate,next_action_taken
L0,Proposal,E0,Call,2023-01-01 00:00:00,Opened,12,10,24,16,2,Neutral,0.94,Email
L1,New,E1,Call,2023-01-01 01:00:00,No-show,1,112,16,13,1,Neutral,0.7,Email
L2,Proposal,E2,Demo,2023-01-01 02:00:00,No-show,5,39,19,13,2,Neutral,0.05,Call
L3,Proposal,E3,Meeting,2023-01-01 03:00:00,Opened,8,28,23,15,1,Negative,0.29,Close
L4,New,E4,Meeting,2023-01-01 04:00:00,No-show,14,30,23,16,7,Neutral,0.05,Close
L5,New,E5,Meeting,2023-01-01 05:00:00,No-show,3,37,25,5,4,Negative,0.83,Email
L6,Proposal,E6,Demo,2023-01-01 06:00:00,Opened,8,119,27,6,2,Positive,0.91,Email
L7,Qualified,E7,Call,2023-01-01 07:00:00,Replied,1,67,10,0,4,Neutral,0.11,Wait
L8,Proposal,E8,Demo,2023-01-01 08:00:00,Opened,1,114,12,14,7,Positive,0.44,Wait
L9,Proposal,E9,Call,2023-01-01 09:00:00,No-show,8,43,26,19,6,Negative,0.93,Wait
L10,Proposal,E10,Demo,2023-01-01 10:00:00,No-show,11,79,7,17,5,Negative,0.15,Email
L11,Proposal,E11,Demo,2023-01-01 11:00:00,No-show,6,85,9,12,0,Neutral,0.29,Close
L12,New,E12,Call,2023-01-01 12:00:00,Opened,6,52,7,1,9,Neutral,0.3,Close
L13,Proposal,E13,Meeting,2023-01-01 13:00:00,No-show,0,101,19,18,0,Negative,0.03,Email
L14,Qualified,E14,Call,2023-01-01 14:00:00,No-show,12,56,7,14,0,Neutral,0.04,Email
L15,New,E15,Email,2023-01-01 15:00:00,Opened,10,76,8,11,9,Neutral,0.95,Call
L16,Qualified,E16,Email,2023-01-01 16:00:00,Replied,5,68,6,14,7,Positive,0.57,Call
L17,Qualified,E17,Call,2023-01-01 17:00:00,Replied,12,111,13,17,7,Negative,0.31,Close
L18,Qualified,E18,Demo,2023-01-01 18:00:00,No-show,6,9,27,13,6,Positive,0.38,Wait
L19,Qualified,E19,Email,2023-01-01 19:00:00,Opened,10,103,1,5,5,Neutral,0.71,Close
L20,New,E20,Email,2023-01-01 20:00:00,No-show,13,106,24,11,3,Positive,0.37,Call
L21,New,E21,Demo,2023-01-01 21:00:00,Opened,5,92,10,19,0,Negative,0.23,Close
L22,Qualified,E22,Demo,2023-01-01 22:00:00,Opened,5,23,7,5,8,Positive,0.1,Call
L23,Qualified,E23,Meeting,2023-01-01 23:00:00,Replied,1,63,12,8,0,Positive,0.73,Call
L24,New,E24,Demo,2023-01-02 00:00:00,Replied,5,109,20,3,3,Neutral,0.18,Wait
L25,New,E25,Call,2023-01-02 01:00:00,Opened,3,61,14,16,2,Negative,0.07,Wait
L26,New,E26,Call,2023-01-02 02:00:00,No-show,8,40,27,1,6,Neutral,0.43,Call
L27,Proposal,E27,Meeting,2023-01-02 03:00:00,Replied,14,44,2,15,4,Neutral,0.04,Email
L28,Proposal,E28,Email,2023-01-02 04:00:00,No-show,11,86,22,13,4,Negative,0.96,Wait
L29,Proposal,E29,Email,2023-01-02 05:00:00,Replied,0,24,13,7,3,Positive,0.63,Call
L30,Qualified,E30,Demo,2023-01-02 06:00:00,Replied,12,51,29,13,0,Neutral,0.15,Email
L31,Proposal,E31,Call,2023-01-02 07:00:00,No-show,7,58,14,1,4,Positive,0.17,Email
L32,Qualified,E32,Email,2023-01-02 08:00:00,Replied,4,90,1,15,3,Negative,0.57,Close
L33,Qualified,E33,Meeting,2023-01-02 09:00:00,Replied,0,94,28,3,9,Neutral,0.36,Close
L34,Proposal,E34,Meeting,2023-01-02 10:00:00,No-show,3,33,18,0,7,Positive,0.77,Wait
L35,Qualified,E35,Call,2023-01-02 11:00:00,Replied,0,16,11,19,1,Positive,0.55,Email
L36,Proposal,E36,Meeting,2023-01-02 12:00:00,Replied,5,22,24,13,7,Neutral,0.43,Wait
L37,Proposal,E37,Meeting,2023-01-02 13:00:00,Replied,1,113,19,7,0,Negative,0.96,Call
L38,New,E38,Call,2023-01-02 14:00:00,No-show,14,57,3,2,3,Positive,0.39,Wait
L39,Proposal,E39,Demo,2023-01-02 15:00:00,Opened,4,62,2,4,2,Negative,0.4,Email
L40,New,E40,Demo,2023-01-02 16:00:00,No-show,6,114,4,5,4,Neutral,0.67,Close
