date,week_number,month,quarter,year,store_id,product_id,sales_channel,revenue_usd,units_sold,deals_closed,avg_deal_size,is_holiday,promotion_active,marketing_spend_usd,competitor_promo,customer_inquiries,followups_sent,conversion_rate,lead_score,revenue_next_period
2023-01-01,52,1,1,2023,S1,P6,In-store,728.34,15,5,145.668,0,0,665.4600951267893,1,14,9,0.31552188330950803,96,448.39
2023-01-01,52,1,1,2023,S3,P7,Online,448.39,28,5,89.678,0,0,126.13591198829744,0,16,13,0.16765093075628879,81,576.33
2023-01-01,52,1,1,2023,S5,P4,In-store,576.33,25,7,82.33285714285715,0,0,727.9993863828897,1,33,24,0.28389789426447,58,804.09
2023-01-01,52,1,1,2023,S2,P1,In-store,804.09,21,18,44.67166666666667,0,1,967.5442354924359,1,29,23,0.14841031688631068,54,868.24
2023-01-01,52,1,1,2023,S4,P3,Partner,868.24,26,14,62.01714285714286,0,0,755.1121448013336,0,44,36,0.3559310124790078,64,650.3
2023-01-01,52,1,1,2023,S3,P6,Online,650.3,38,9,72.25555555555555,0,0,331.4066535988251,0,11,7,0.20001035143496887,66,523.72
2023-01-01,52,1,1,2023,S2,P10,In-store,523.72,12,10,52.372,0,1,145.89058626756116,0,26,20,0.2223372048244703,86,264.13
2023-01-02,1,1,1,2023,S1,P6,Partner,264.13,19,10,26.413,0,0,157.66974381371202,1,12,7,0.30377510934205354,97,617.46
2023-01-02,1,1,1,2023,S4,P9,In-store,617.46,21,17,36.321176470588235,0,0,673.5210395383899,0,37,21,0.2525106005382113,55,498.03
2023-01-02,1,1,1,2023,S1,P8,Partner,498.03,22,17,29.295882352941174,0,0,255.27148925172585,0,37,33,0.17790125168512422,80,697.71
2023-01-02,1,1,1,2023,S2,P5,In-store,697.71,22,16,43.606875,0,0,820.6096921571346,0,14,10,0.30587080843474546,80,655.79
2023-01-02,1,1,1,2023,S3,P8,Online,655.79,25,7,93.6842857142857,0,0,488.04824925002055,0,39,29,0.29797549994277683,94,514.13
2023-01-02,1,1,1,2023,S1,P2,In-store,514.13,16,16,32.133125,0,0,590.888682466215,0,19,16,0.3381969149104018,98,773.12
2023-01-03,1,1,1,2023,S3,P5,In-store,773.12,24,15,51.541333333333334,0,1,735.2530963900412,0,49,30,0.3024365582524824,95,459.83
2023-01-03,1,1,1,2023,S2,P9,Partner,459.83,12,10,45.983,0,0,149.8516570188453,0,26,18,0.21233496326153048,88,921.52
2023-01-03,1,1,1,2023,S3,P4,Online,921.52,25,11,83.77454545454545,0,0,854.4620744687024,0,28,19,0.10263242651857535,90,587.77
2023-01-03,1,1,1,2023,S4,P2,Online,587.77,57,11,53.43363636363636,1,0,283.43754434486016,0,23,13,0.3445549696878259,71,365.55
2023-01-03,1,1,1,2023,S1,P8,In-store,365.55,10,16,22.846875,0,0,184.01007202935529,1,42,25,0.15990386540121235,68,627.6
2023-01-03,1,1,1,2023,S2,P3,Partner,627.6,46,12,52.300000000000004,0,0,328.58627803862817,0,26,15,0.32809846642124135,81,964.31
2023-01-03,1,1,1,2023,S5,P5,In-store,964.31,33,6,160.71833333333333,0,1,900.9379503010881,0,49,33,0.36058845115310834,54,440.99
2023-01-03,1,1,1,2023,S1,P7,In-store,440.99,23,19,23.21,0,0,263.06495114507453,1,32,21,0.1480676802929519,94,538.48
2023-01-03,1,1,1,2023,S3,P6,Online,538.48,11,7,76.92571428571429,0,0,622.07758705403,0,37,25,0.11331299905997104,83,550.47
2023-01-03,1,1,1,2023,S3,P2,Online,550.47,11,5,110.09400000000001,0,0,549.590880991344,0,46,34,0.3580861794443647,72,727.6
